,Date,VIX_change_type,"('polarity', 'mean')","('polarity', 'max')","('polarity', 'min')","('word_mentions', 'sum')","('dot', 'sum')","('DT', 'count')",dow_d_min_1,dow_d_min_2,dow_d_min_3,dow_d_min_4,dow_d_min_5
3244,2016-11-17,0,0.0,0.0,0.0,0.0,0.0,0.0,83.95898400000078,119.19921899999828,118.30078100000172,118.81835900000078,270.51953100000173
3245,2016-11-18,0,0.25555555566666666,0.4125,0.0,1.0,0.0,3.0,58.75976599999922,83.95898400000078,119.19921899999828,118.30078100000172,118.81835900000078
3246,2016-11-21,0,0.19111179640000003,0.9,-0.42,0.0,0.0,10.0,61.91015600000173,58.75976599999922,83.95898400000078,119.19921899999828,118.30078100000172
3247,2016-11-22,-1,0.2055555556666667,0.7666666670000001,-0.15,1.0,0.0,3.0,77.66015699999843,61.91015600000173,58.75976599999922,83.95898400000078,119.19921899999828
3248,2016-11-23,0,0.044545454499999984,0.4,-0.4318181820000001,0.0,0.0,4.0,81.08007799999905,77.66015699999843,61.91015600000173,58.75976599999922,83.95898400000078
3249,2016-11-25,0,0.0,0.0,0.0,0.0,0.0,0.0,83.37890699999843,81.08007799999905,77.66015699999843,61.91015600000173,58.75976599999922
3250,2016-11-28,1,0.07041627206250001,1.0,-0.9,0.0,1.0,16.0,58.41992200000095,83.37890699999843,81.08007799999905,77.66015699999843,61.91015600000173
3251,2016-11-29,0,-0.014166666599999989,0.8666666670000001,-0.9375,1.0,0.0,5.0,66.47070299999905,58.41992200000095,83.37890699999843,81.08007799999905,77.66015699999843
3252,2016-11-30,0,-0.026250000000000016,0.53125,-0.8,1.0,0.0,5.0,82.17968800000017,66.47070299999905,58.41992200000095,83.37890699999843,81.08007799999905
3253,2016-12-01,0,0.37838636360000005,0.7125,0.099431818,0.0,2.0,5.0,101.90820399999942,82.17968800000017,66.47070299999905,58.41992200000095,83.37890699999843
3254,2016-12-02,0,0.42708333299999995,0.42708333299999995,0.42708333299999995,0.0,0.0,1.0,75.51171800000157,101.90820399999942,82.17968800000017,66.47070299999905,58.41992200000095
3255,2016-12-05,0,0.007381065125,0.65,-0.65625,3.0,4.0,16.0,54.96093699999983,75.51171800000157,101.90820399999942,82.17968800000017,66.47070299999905
3256,2016-12-06,-1,0.13636363599999998,0.13636363599999998,0.13636363599999998,1.0,1.0,1.0,88.11914000000252,54.96093699999983,75.51171800000157,101.90820399999942,82.17968800000017
3257,2016-12-07,0,0.3768939395,0.5,0.253787879,0.0,0.0,2.0,71.15039099999922,88.11914000000252,54.96093699999983,75.51171800000157,101.90820399999942
3258,2016-12-08,0,-0.2,0.6,-1.0,2.0,0.0,2.0,328.58984400000185,71.15039099999922,88.11914000000252,54.96093699999983,75.51171800000157
3259,2016-12-09,0,0.0,0.0,0.0,0.0,0.0,0.0,137.140625,328.58984400000185,71.15039099999922,88.11914000000252,54.96093699999983
3260,2016-12-12,0,0.12242063483333333,0.5,-0.379166667,0.0,0.0,12.0,134.5507810000017,137.140625,328.58984400000185,71.15039099999922,88.11914000000252
3261,2016-12-13,0,0.0013636363999999998,0.175,-0.125,0.0,1.0,5.0,76.84960999999748,134.5507810000017,137.140625,328.58984400000185,71.15039099999922
3262,2016-12-14,0,0.4520833333333334,0.8,0.15,0.0,0.0,3.0,107.30078100000172,76.84960999999748,134.5507810000017,137.140625,328.58984400000185
3263,2016-12-15,0,0.049351851999999995,0.5,-0.21361111100000002,0.0,0.0,3.0,217.7597659999992,107.30078100000172,76.84960999999748,134.5507810000017,137.140625
3264,2016-12-16,0,-0.125,0.0,-0.25,0.0,0.0,2.0,139.78906300000014,217.7597659999992,107.30078100000172,76.84960999999748,134.5507810000017
3265,2016-12-19,0,0.1325,0.75,-0.25,1.0,0.0,5.0,102.16992200000095,139.78906300000014,217.7597659999992,107.30078100000172,76.84960999999748
3266,2016-12-20,0,0.42541666675,0.8,0.025,0.0,1.0,4.0,84.83007800000269,102.16992200000095,139.78906300000014,217.7597659999992,107.30078100000172
3267,2016-12-21,0,0.23194444433333336,0.275,0.208333333,0.0,0.0,3.0,67.21093699999983,84.83007800000269,102.16992200000095,139.78906300000014,217.7597659999992
3268,2016-12-22,0,0.6375,0.9,0.375,0.0,0.0,2.0,44.59960900000078,67.21093699999983,84.83007800000269,102.16992200000095,139.78906300000014
3269,2016-12-23,0,0.11000000000000001,0.4,0.0,0.0,1.0,5.0,51.640625,44.59960900000078,67.21093699999983,84.83007800000269,102.16992200000095
3270,2016-12-27,1,0.39211309525,0.75,0.0,1.0,0.0,4.0,35.089843999998266,51.640625,44.59960900000078,67.21093699999983,84.83007800000269
3271,2016-12-28,0,0.2984166668,0.666666667,-0.073333333,0.0,1.0,5.0,40.43945299999905,35.089843999998266,51.640625,44.59960900000078,67.21093699999983
3272,2016-12-29,1,0.0,0.0,0.0,0.0,0.0,0.0,153.79882799999902,40.43945299999905,35.089843999998266,51.640625,44.59960900000078
